Year,Month,Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm)
1901,1,-4.7,7.2,-23.9,19.8,42.9
1901,2,-8.5,1.1,-18.9,0,36.6
1901,3,-1.2,7.2,-17.8,35.3,34.5
1901,4,8,23.3,-1.1,78.5,22.4
1901,5,12.5,25.6,0.6,88.6,0
1901,6,18.5,35.6,5,52.6,0
1901,7,22.9,34.4,11.7,85.9,0
1901,8,20.7,31.1,10,98.6,0
1901,9,16.6,31.1,2.2,77.5,0
1901,10,9.4,22.8,-2.2,14.7,0
1901,11,1.4,16.1,-9.4,33.8,8.1
1901,12,-3,13.9,-17.8,56.6,35.1
1902,1,-4.8,5,-17.2,1.5,64.5
1902,2,-6,7.2,-17.2,23.4,14.7
1902,3,3.1,13.9,-10.6,55.1,8.9
1902,4,6.7,24.4,-3.3,54.6,0.5
1902,5,11.9,26.7,-1.7,48.3,0
1902,6,15.6,27.2,3.3,90.7,0
1902,7,20.5,32.8,10,110.7,0
1902,8,18.6,29.4,8.3,60.5,0
1902,9,15.7,26.1,3.3,85.3,0
1902,10,9.3,20,-3.3,70.9,0
1902,11,6.1,18.3,-8.9,24.9,18.3
1902,12,-4.2,7.8,-19.4,38.4,18
1903,1,-5,6.7,-20.6,17,51.8
1903,2,-3.5,7.8,-21.1,38.4,33
1903,3,4.3,20,-8.9,46,0.5
1903,4,6.6,24.4,-10,87.9,7.6
1903,5,13.3,28.3,-1.7,45.5,0.3
1903,6,16.6,31.1,6.7,84.6,0
1903,7,20.7,33.3,8.3,110.5,0
1903,8,17.7,28.3,8.3,93.2,0
1903,9,16.2,28.9,1.1,10.4,0
1903,10,10.5,23.3,-2.2,67.6,3
1903,11,1.7,21.1,-14.4,25.7,6.6
1903,12,-5.1,3.9,-23.3,26.7,24.1
1904,1,-8.9,4.4,-26.1,13.2,47.5
1904,2,-10.4,5.6,-23.9,27.7,48.5
1904,3,-1.9,10.6,-15.6,58.9,15.2
1904,4,4,14.4,-7.2,67.1,11.9
1904,5,13.2,26.1,1.1,96.5,0
1904,6,17.3,28.9,6.1,70.4,0
1904,7,19.7,33.9,7.8,130.3,0
1904,8,18.3,28.9,7.2,116.1,0
1904,9,14.8,26.1,1.1,101.3,0
1904,10,7.8,21.7,-5,61.5,1.5
1904,11,2.2,14.4,-12.2,2,0.8
1904,12,-5.4,9.4,-17.2,18.8,18
1905,1,-7.8,5.6,-21.7,16,67.3
